CitizenID,Name,BirthDate,Nationality,Address,VotingStatus,PassportNumber,TaxID,MaritalStatus,CriminalRecord,EducationLevel,Income,ImmigrationYear
CIT_037,Cole Scott,15-07-1944,India,"036 Renee Stream, Reyesmouth, GU 90023",No,INVALID_must,TAX-037-09,Widowed,No,Masters,94605.85,1976.0
CIT_038,Roberto Cummings,11-03-2023,India,"9325 Anderson Island Apt. 445; Foxview; MS 12136,",Unknown,V07769485,TAX_038_87,Divorced,Pending,Bachelors,13351.6,1975.0
CIT_099,Adrian Perez,17-10-1972,France,"341 Edward Estates Suite 969, South Ryan, SD 27153",Yes,D61430362,TAX-039-48,Single,Unknown/None,Masters,37334.42,Unknown/None
CIT_040,Dillon Good,28-10-1971,India,"PSC 9901; Box 7394; APO AE 42889,",No,D35879090,TAX-040-15,Single,Unknown/None,Doctorate,79041.1,Unknown/None
CIT_041,Michael Rhodes,31-01-1937,France,"0089 Ryan Plain Suite 553, New Lauraview, OH 66864",No,718598899,TAX-041-06,Divorced,Unknown/None,Bachelors,87213.71,Unknown/None
CIT_042,Travis Armstrong,06-08-1997,United States,"53401 Douglas Drive; Davidfurt; ID 82151,",No,822797495,TAX_042_74,Single,Unknown/None,High School,58337.19,Unknown/None
CIT_043,Stephanie Baker,13-10-1978,United States,"320 Reed Springs, North Latasha, FL 20781",No,845718051,TAX_043_60,Divorced,Unknown/None,Masters,129818.43,Unknown/None
CIT_044,Rebecca Forbes,27-03-2003,France,"Unit 1611 Box 1955, DPO AP 69780",No,INVALID_loss,TAX-044-15,Divorced,Pending,High School,17369.41,Unknown/None
CIT_045,Anthony Marquez,19-05-1997,France,"PSC 1039, Box 4671, APO AE 32255",No,855236965,TAX-045-11,Married,Yes,Doctorate,52771.33,Unknown/None
CIT_046,Robert Gordon,14-07-2002,United States,"629 Crawford Common Apt. 753, Shortstad, CT 87265",Yes,INVALID_maintain,TAX-046-91,Widowed,Unknown/None,Doctorate,64427.83,Unknown/None
CIT_047,Jeffrey Robinson,04-11-1934,India,"056 Michael Curve Suite 729, East Brandonhaven, RI 39950",Yes,C82802084,TAX-047-59,Divorced,Unknown/None,Masters,145433.14,1925.0
CIT_048,Matthew Taylor,13-06-1981,India,"764 Kendra Meadow Apt. 090, East Rebeccamouth, CO 01358",No,H81441727,TAX_048_10,Single,No,Bachelors,107500.36,Unknown/None
CIT_049,Dana Rocha,26-04-1976,France,"118 Taylor Dam, New Melvinport, WY 71183",Unknown,224668929,TAX_049_92,Married,Pending,PhD,69465.37,Unknown/None
CIT_050,Kevin Patel,11-11-1978,India,"0414 David Groves, Dudleyside, NE 53734",Yes,897355282,TAX-050-93,Divorced,Pending,High School,49151.43,Unknown/None
CIT_051,Sara Gibbs,07-04-1947,United States,"9441 Kaitlyn Views, Johnnymouth, NV 29447",No,319346814,TAX-051-96,Single,Unknown/None,High School,49913.53,Unknown/None
CIT_052,Scott Spencer,18-06-2005,India,"3506 Cody Haven; North Christopher; SC 33917,",Yes,L42346933,TAX-052-90,Single,Unknown/None,High School,101124.51,1961.0
CIT_074,Jenny Serrano,13-12-1981,India,"5553 Jessica Centers, Brianamouth, NE 86097",Yes,W10840947,TAX-053-38,Single,Unknown/None,PhD,111629.09,Unknown/None
CIT_054,Nicholas Bailey,14-12-2001,India,"38841 John Lock Apt. 401, East Leonard, SD 43298",Yes,208427605,TAX-054-02,Married,No,PhD,69320.59,Unknown/None
CIT_055,Bradley Lane Phd,26-02-2006,France,"3705 Juan Plain Suite 264, North Nathaniel, KY 58941",Unknown,N41739552,TAX-055-28,Married,Yes,Masters,136130.01,Unknown/None
CIT_056,Shelley Russell,Unknown/Invalid Format,France,"740 Castro Gateway Suite 111, Patrickport, OH 51563",No,INVALID_protect,TAX_056_13,Unknown,No,High School,130699.28,1986.0
CIT_057,Brandy Pierce,18-11-1970,United States,"74036 Mcdonald Turnpike, New Benjamin, PA 93677",No,INVALID_job,TAX-057-15,Single,Unknown/None,Masters,52837.94,Unknown/None
CIT_058,Rodney Costa,11-12-1946,France,"4702 Campbell Union, West Robertmouth, LA 65916",No,INVALID_pretty,TAX-058-06,Divorced,Unknown/None,Doctorate,93440.41,Unknown/None
CIT_039,Heather Murphy,28-05-1995,France,"7991 Ward Neck, Latashaberg, MH 41027",No,M08014616,TAX-059-07,Married,Yes,Masters,15324.57,Unknown/None
CIT_060,David Marsh,11-03-1965,India,"48205 Gina Alley, Stewartburgh, WI 15935",Yes,844279544,TAX-060-08,Married,No,Bachelors,34502.69,Unknown/None
CIT_061,Erica Graham,16-08-1971,France,"4740 Ryan Streets Apt. 571, West Joseph, CT 79474",No,344354480,TAX_061_86,Widowed,Yes,PhD,24286.58,Unknown/None
CIT_062,Andrew Boyd,18-03-1994,France,"8314 Lisa Burg Suite 662, Margaretton, LA 14791",No,INVALID_girl,Unknown/None,Unknown,No,Doctorate,28888.17,Unknown/None
CIT_063,Sheena Holmes,23-09-1957,India,"041 Andrea Curve Suite 909, Thomasborough, NE 79211",Yes,409227565,TAX-063-68,Single,Unknown/None,Doctorate,58823.81,Unknown/None
CIT_064,Dawn Rivera,Unknown/Invalid Format,France,"7293 Ruiz Village Suite 545, North Martin, MP 47115",No,679212988,TAX-064-19,Married,Yes,High School,121841.26,Unknown/None
CIT_065,Christine Mills,02-12-1959,India,"8588 Diaz Island Suite 417; Lambville; UT 39258,",Yes,303170365,TAX_065_77,Divorced,Yes,High School,45048.01,Unknown/None
CIT_066,Mark Silva,18-10-1951,India,"79348 Gordon Views Suite 994, Smithport, MN 36314",Yes,480599158,TAX-066-47,Divorced,Pending,Bachelors,19109.16,Unknown/None
CIT_067,Robert Williams,15-12-1999,France,"4295 Everett Mountain Apt. 757, North Mark, IA 73810",No,897948412,TAX-067-12,Unknown,No,High School,107643.08,2013.0
CIT_068,Terry Greer,Unknown/Invalid Format,India,"810 Williams Mall Suite 184, Lauraside, SC 52549",Yes,481006285,TAX-068-62,Married,Pending,PhD,51699.91,1966.0
CIT_069,Stephanie Robinson,23-02-1976,France,"659 Sanchez Crossing Suite 148, New Claire, TX 62277",No,648041435,TAX_069_82,Unknown,Unknown/None,PhD,88870.86,Unknown/None
CIT_070,Daniel Brown Iv,Unknown/Invalid Format,United States,"929 Tina Tunnel Suite 485; Port Ericchester; GA 25395,",Yes,653517586,TAX_070_09,Divorced,Unknown/None,High School,34288.99,Unknown/None
CIT_071,Austin Brown,13-08-1935,France,"1681 Davis Throughway; New Tami; PR 28667,",Yes,739710374,TAX-071-40,Unknown,Unknown/None,Masters,45734.98,2008.0
CIT_072,Jason Hardy,07-01-2004,France,"Unit 3967 Box 9582; DPO AA 21182,",Yes,089012932,TAX-072-38,Married,No,High School,113885.05,1954.0
CIT_073,Erin Serrano,01-09-1971,India,"5431 Nicholas Glen, Laraview, KY 76400",No,197473749,TAX-073-07,Single,No,High School,76025.88,Unknown/None
CIT_074,Fernando Hunt,10-01-1971,France,"7728 Carol Plaza, Jamesborough, AR 17467",No,348047583,TAX-074-86,Unknown,No,Doctorate,141163.07,Unknown/None
CIT_075,Christian Jenkins,05-04-1967,United States,"0641 Compton Ville Apt. 317; Cherylborough; GA 26222,",Yes,Q43566954,TAX-075-77,Married,Unknown/None,High School,124707.37,Unknown/None
CIT_076,Karen Clarke,27-06-1964,United States,"602 Farrell Fort Suite 437; Lukefurt; MA 61924,",No,765989793,TAX-076-47,Married,Yes,High School,59602.37,Unknown/None
CIT_077,Jessica Simpson,12-10-1936,France,"8254 Denise Branch Suite 848, East Andrew, RI 79181",Yes,S19360916,TAX-077-45,Single,Unknown/None,High School,59392.99,Unknown/None
CIT_078,Crystal Sherman,21-01-1988,France,"4087 Jesse Garden Apt. 611; Barnettfurt; AS 26457,",No,699467178,TAX-078-75,Married,Unknown/None,High School,23435.91,Unknown/None
CIT_079,Andrew Cruz,03-04-2005,United States,"847 Moore Alley, Hollyview, MS 33843",Unknown,915865369,TAX_079_46,Widowed,Unknown/None,Bachelors,144903.59,Unknown/None
CIT_080,Linda Hunt,27-04-1969,France,"PSC 7712, Box 1971, APO AP 77910",Yes,122739425,TAX-080-93,Unknown,Yes,High School,61501.58,1981.0
CIT_081,Rachel Gonzalez,12-03-1966,France,"243 Sanchez Park Suite 427, East Brian, CO 29669",Yes,813169136,TAX-081-37,Widowed,Unknown/None,High School,92881.18,Unknown/None
CIT_082,Cody Young,08-07-1936,France,"37155 James Place; Port Johnland; AZ 85034,",Yes,INVALID_decide,TAX-082-25,Divorced,Yes,Bachelors,149131.03,Unknown/None
CIT_083,Nancy Munoz,10-01-1954,India,"1898 Jimenez Gardens, Barkermouth, MI 11114",Unknown,F40685344,TAX-083-77,Widowed,No,Masters,100815.76,Unknown/None
CIT_084,Jennifer Hines,02-03-1986,United States,"01055 Butler Squares Suite 283, East Virginia, NC 54086",Yes,650055004,TAX-084-88,Divorced,Pending,Masters,120826.51,Unknown/None
CIT_085,April Dominguez,21-08-1953,France,"57033 Guerrero Valleys, West Lori, WI 41839",Yes,546986522,TAX_085_27,Divorced,Unknown/None,Doctorate,48518.23,1970.0
CIT_086,Kyle Craig,10-01-1961,United States,"999 Katherine View Suite 134, Ronnieburgh, WI 18215",No,W13649051,Unknown/None,Divorced,Unknown/None,Bachelors,124153.45,Unknown/None
CIT_087,Richard Walker,11-04-1976,India,"99901 Jason Shoal Suite 270, Lake Darlene, NY 04495",No,Q26017097,TAX-087-86,Married,Unknown/None,High School,138046.22,2006.0
CIT_088,Ryan Rhodes,12-07-1985,United States,"3187 Daniel Islands Apt. 114, East Brandon, WI 35060",Yes,961334893,TAX-088-10,Divorced,Yes,Doctorate,42555.87,Unknown/None
CIT_089,Shawn Owens,05-12-1972,United States,"68975 Amber Forge, West Amy, PR 67561",No,291867223,TAX_089_87,Unknown,Pending,Bachelors,20332.01,Unknown/None
CIT_090,Brandon Farmer,18-06-2001,France,"Unit 1690 Box 0910; DPO AP 96028,",Unknown,INVALID_respond,TAX-090-79,Married,Unknown/None,PhD,104543.38,Unknown/None
CIT_091,Molly Wood,06-01-1977,France,"4429 Meghan Plains, Porterview, NJ 43977",No,281707091,TAX_091_44,Divorced,Unknown/None,PhD,121991.02,Unknown/None
CIT_092,Matthew Tucker,15-01-1948,India,"9580 Wood Walk Suite 457; West Pattyfurt; WA 56097,",Yes,INVALID_pay,TAX-092-38,Married,Unknown/None,PhD,58007.63,Unknown/None
CIT_093,Troy Rodriguez,28-12-1940,India,"82432 Roach Spur; South Marie; VT 24673,",Yes,566848854,TAX-093-75,Widowed,No,Doctorate,25499.16,Unknown/None
CIT_094,David Smith,01-04-1971,United States,"52269 Tammy Summit, East Emily, TN 68738",Yes,673813579,TAX-094-89,Widowed,Yes,PhD,126219.72,Unknown/None
CIT_095,Ricardo Taylor,19-07-1936,India,"87569 Kyle Vista Suite 972, Hortonton, KS 59208",Yes,J82064980,TAX-095-57,Single,Unknown/None,Masters,142487.29,1966.0
CIT_096,Kevin Martinez,16-07-1952,United States,"068 Little Rapids; Skinnerborough; ND 17168,",No,Q55704555,TAX-096-56,Single,No,Masters,128649.89,Unknown/None
CIT_097,Ann Newton,28-03-1969,India,"758 Joanna Rapid Suite 686; Victorton; AR 17572,",Yes,T72657691,TAX-097-01,Unknown,Yes,Bachelors,55551.04,Unknown/None
CIT_098,Christina Acevedo,15-03-1962,India,"12906 Amanda Mills Suite 026, Karenshire, UT 46371",No,601429556,TAX-098-68,Single,Yes,High School,79058.99,1978.0
CIT_099,Ana Klein,11-12-1986,United States,"9958 Tyrone Crossing, Deborahview, FL 87943",Yes,G31435758,TAX-099-24,Widowed,Unknown/None,High School,77259.86,Unknown/None
CIT_100,Joseph Waters,02-10-1972,United States,"1630 Karen Dam Suite 640, West Josephview, SD 96804",Unknown,INVALID_provide,TAX-100-43,Married,Yes,Bachelors,52115.11,Unknown/None
CIT_101,Chad Allen,26-03-2001,India,"487 Dylan Ramp, Heathertown, NM 64853",Unknown,529062900,TAX-101-91,Married,Pending,Doctorate,117264.59,Unknown/None
CIT_102,David Taylor,28-05-1984,United States,"9175 Cooper Springs, North Loriton, NH 95112",Yes,182501153,TAX-102-26,Unknown,No,Masters,110910.79,Unknown/None
CIT_103,Amy Davis,21-02-1989,India,"USCGC Perez, FPO AP 63598",Yes,520496675,TAX-103-55,Unknown,Unknown/None,Masters,81549.9,Unknown/None
CIT_104,Jonathan Lewis,31-08-1962,France,"390 Koch Unions, Salashaven, OR 03873",Yes,J42728222,TAX-104-58,Unknown,Unknown/None,Masters,114585.55,Unknown/None
CIT_105,James Barnes,08-02-2006,France,"174 Anthony Roads, South Sally, FL 98657",No,INVALID_area,Unknown/None,Divorced,Pending,Bachelors,115106.52,1960.0
CIT_106,Justin Murphy Ii,19-12-1934,United States,"USNV Moore, FPO AE 26139",Yes,541741030,TAX-106-08,Single,Unknown/None,High School,76980.97,Unknown/None
CIT_107,Dennis Alvarez,28-02-1949,India,"775 Lisa Roads Suite 555; Davisshire; VT 74553,",No,M90425996,TAX-107-75,Married,Yes,High School,17575.26,Unknown/None
CIT_108,Sarah Schroeder,02-12-1947,France,"99880 Campos Lake; Gutierrezhaven; UT 77542,",Yes,169219144,TAX-108-64,Unknown,Unknown/None,Bachelors,137058.62,Unknown/None
CIT_109,Jason Gomez,30-07-1985,India,"Unit 9870 Box 8552; DPO AA 75731,",Yes,B17332490,TAX-109-19,Married,No,Bachelors,112422.11,1983.0
CIT_110,Pamela Smith,17-01-1983,India,"6666 Reyes Loop Suite 176; Lake Jacobmouth; SD 20135,",Yes,578787786,TAX-110-64,Single,Pending,PhD,75411.58,Unknown/None
CIT_111,Holly Cook,06-12-1990,France,"96434 Weiss Common Suite 369; New Alexanderton; MD 14365,",Yes,563904708,TAX-111-29,Divorced,Unknown/None,Masters,54753.86,Unknown/None
CIT_112,Joshua Carlson,11-08-1996,France,"032 Vazquez Rapid Suite 766, Port Gregory, NH 91715",Yes,N40120280,TAX-112-94,Married,No,High School,29632.04,1995.0
CIT_113,Samantha Lindsey,03-09-1943,United States,"03121 Terrell Park, Schneiderside, MO 19876",Yes,M39715499,TAX_113_84,Single,Pending,High School,78751.85,Unknown/None
CIT_114,Brian Williams,03-05-1961,France,"71175 Brady Camp, North Mark, WV 19311",No,U30488903,TAX_114_76,Widowed,Unknown/None,High School,47026.48,Unknown/None
CIT_115,Brett Hunter,04-08-1951,France,"863 Robinson Summit; West Robert; HI 41619,",Yes,O63358431,TAX_115_45,Divorced,Pending,High School,14103.27,Unknown/None
CIT_116,Reginald Jones,30-07-1947,United States,"427 Marie Corner; West Phillipshire; MI 42068,",Yes,Q33906045,TAX-116-05,Married,Pending,PhD,54352.13,Unknown/None
CIT_117,Robert Scott,08-03-2000,United States,"7793 Clark Trail Suite 073, Andersonville, AS 37249",No,447112255,TAX_117_98,Single,Pending,PhD,69714.29,Unknown/None
CIT_118,Hannah Moore,11-06-1959,India,"62161 Adams Path Suite 859; Lake Kevinmouth; UT 87561,",No,S03852335,TAX_118_85,Single,Unknown/None,High School,81484.79,Unknown/None
CIT_119,Carmen Ruiz,19-11-1990,India,"12342 Powers Skyway Suite 760, Josephton, GU 94559",Unknown,M73099164,TAX-119-86,Widowed,Unknown/None,PhD,21587.68,Unknown/None
CIT_120,Melinda Hall,12-10-1992,United States,"9120 Brandy Loaf, Lake Samanthaburgh, OH 62616",No,C52127665,TAX-120-37,Divorced,Pending,High School,140740.2,Unknown/None
CIT_121,Robert White,21-05-1947,France,"5241 Ramsey Crossing, Nicolebury, NJ 93433",Yes,791409359,TAX-121-22,Unknown,No,Doctorate,76307.13,1942.0
CIT_122,Rhonda Jones,Unknown/Invalid Format,India,"1090 Jennifer Ridge Suite 200, Leahborough, TN 44468",Unknown,N43790456,TAX-122-46,Single,Unknown/None,PhD,115934.32,Unknown/None
CIT_123,Timothy Simpson,10-04-2006,India,"619 Nunez Trail, Leeville, GA 16488",Yes,INVALID_manager,TAX-123-19,Widowed,No,Bachelors,38321.66,Unknown/None
CIT_124,Timothy Taylor,06-04-1999,India,"094 Hannah Mountains; West Thomasberg; MN 62954,",Yes,068184827,TAX-124-40,Unknown,No,High School,23528.39,Unknown/None
CIT_125,James Fernandez,27-04-2002,United States,"12278 Jennifer Crossing; New Robert; SC 60963,",No,E07083894,TAX_125_67,Divorced,Unknown/None,PhD,114350.04,Unknown/None
CIT_126,Pamela Frost,24-05-1992,India,"1906 Fischer Dam Apt. 568; West Charles; MI 99267,",Unknown,478706981,TAX-126-24,Divorced,Yes,High School,56623.89,Unknown/None
CIT_127,Melissa Young,21-08-1951,India,"43930 Tyrone Trace, Robertland, SD 07983",No,203697814,TAX_127_03,Married,Pending,Masters,54531.75,1976.0
CIT_128,Jonathan Lee,05-08-2016,United States,"265 Long Lights Apt. 028, West Anthonyshire, LA 21459",No,S41480923,TAX-128-94,Widowed,No,Doctorate,120527.33,Unknown/None
CIT_129,Patrick Newman,02-07-1958,United States,"761 Walker Landing Suite 161; North Tonyaport; NH 57461,",Yes,671033442,TAX-129-09,Single,Pending,Doctorate,108019.19,Unknown/None
CIT_130,Sarah Foster,06-01-1966,India,"99113 Todd Cape Apt. 907, Kaitlynville, WV 55928",Yes,544782647,TAX-130-31,Single,Unknown/None,High School,132114.47,Unknown/None
CIT_131,Alexis Williams,08-07-1969,France,"97777 Richardson Way; Port Ericafurt; IN 13815,",Unknown,851780612,TAX-131-87,Unknown,Pending,High School,112450.75,Unknown/None
CIT_132,John Rodriguez,11-07-1959,France,"213 Angela Knoll; Nicholasmouth; NE 87089,",Yes,Y84238940,TAX-132-23,Divorced,Unknown/None,Doctorate,100243.86,Unknown/None
CIT_133,Crystal Sanchez,04-09-1977,India,"029 Crystal Rapids, Lake John, IN 36982",No,934346269,TAX-133-96,Divorced,Pending,Doctorate,-86352.0,Unknown/None
CIT_134,Eric Donaldson,26-06-2005,India,"73493 Palmer Isle Suite 849, North Michaelfurt, MI 46114",Yes,120759270,TAX-134-63,Widowed,Yes,Bachelors,10836.46,Unknown/None
CIT_135,Louis Mitchell,27-01-1988,France,"8092 Knight Islands, South Nataliemouth, GU 87719",Yes,535857426,TAX_135_45,Divorced,Unknown/None,High School,43513.62,Unknown/None
CIT_136,Sandra Hanson,10-09-1971,France,"2790 Rebecca Vista Apt. 970, Port Andrea, FL 28378",Yes,528476181,TAX-136-84,Widowed,Yes,Masters,100282.69,1965.0
CIT_137,Daniel Mitchell,06-10-1979,India,"6051 Streetephanie Streetream; Kevinchester; OH 26524,",Unknown,689802581,TAX-137-10,Divorced,Pending,PhD,-44628.0,1956.0
CIT_138,Sara Payne,29-11-1947,France,"2400 Kelley Bridge, Meganburgh, ND 64268",Yes,673221935,TAX-138-20,Single,Pending,High School,65425.99,Unknown/None
CIT_139,Jessica Medina,05-06-1955,France,"884 Susan Vista Suite 397; Edwinland; IN 11951,",No,247287769,TAX-139-07,Divorced,Pending,Doctorate,53170.64,Unknown/None
CIT_140,Mrs. Brandi Henderson,24-02-2001,United States,"36449 Norton Mission; New Brandifurt; SD 09405,",No,034408506,TAX_140_62,Single,Unknown/None,Doctorate,130249.35,Unknown/None
CIT_141,Tonya Williamson,09-11-1983,United States,"921 Joshua Springs, Michaelport, TX 54037",Yes,391294507,TAX-141-97,Single,Yes,High School,104880.31,Unknown/None
CIT_142,Tina Carter,06-07-1965,India,"PSC 0524, Box 7586, APO AE 91523",Yes,INVALID_himself,TAX-142-84,Single,Yes,High School,16088.47,Unknown/None
CIT_018,Melissa Davis,06-02-1944,India,"791 Michelle Cliff, Port Taylor, OR 73555",Unknown,D15249582,Unknown/None,Unknown,Pending,PhD,60833.72,1937.0
CIT_144,Todd Harvey,08-07-1951,India,"Unit 3925 Box 1809; DPO AA 78107,",Yes,668406722,TAX-144-58,Married,Unknown/None,PhD,28507.87,Unknown/None
CIT_145,John Delacruz,15-10-1987,India,"475 Daniel Fords Suite 956, South Amber, WV 57053",Yes,INVALID_something,TAX-145-67,Divorced,Unknown/None,PhD,149564.18,Unknown/None
CIT_146,Kevin Mitchell,02-06-1993,France,"4124 Valencia Street Suite 909, West Michaelville, MH 35022",No,O79917951,TAX-146-22,Single,Unknown/None,High School,54836.28,Unknown/None
CIT_147,Charlene Moore,05-08-1957,France,"28862 Andrea Locks, North Williambury, WY 66208",Yes,U25487953,TAX-147-16,Divorced,Yes,PhD,86206.9,Unknown/None
CIT_148,Scott Smith,31-08-1940,United States,"8123 Waters Neck Apt. 506, Cassandraville, HI 63780",Yes,D45843754,TAX-148-88,Single,Pending,High School,18770.28,Unknown/None
CIT_149,Brandi Baker,19-06-2001,India,"84470 Gary Squares, Joshuamouth, MA 11308",Yes,Z31803243,TAX_149_67,Divorced,Unknown/None,Doctorate,62541.66,1986.0
CIT_150,Melanie York,13-07-1972,India,"6755 Dillon Rue Apt. 817; Lake Jenniferbury; UT 15794,",Yes,I50687850,TAX-150-22,Married,Unknown/None,PhD,42271.78,Unknown/None
